,,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12
epoch_76,uid_267455,3471,6893,49961,68159,63859,1921,2728,7068,96079,2180,2764,163645
epoch_76,uid_73381,5034,68159,1357,3328,2932,34338,55280,936,7297,8405,62,26111
epoch_76,uid_117628,8665,34338,7297,8405,2351,55280,116897,1127,1648,3505,1673,36513
epoch_76,uid_21453,34338,93721,7001,8665,26111,2073,5062,68159,1127,68358,122922,54286
epoch_76,uid_229622,34338,2924,6974,8507,116897,6893,48304,2991,1357,47423,8405,4082
epoch_76,uid_167368,60684,34338,48304,2180,6893,142456,2206,63433,8983,3328,1916,81229
epoch_76,uid_21772,148626,6974,1648,48304,1248,68358,96588,3328,194,8665,5062,6893
epoch_76,uid_176555,56339,93721,1794,136485,2173,49772,3679,2654,8207,48304,6188,3179
epoch_76,uid_166868,529,7297,1997,3505,34338,36513,116897,1127,7068,3363,8033,1357
epoch_77,uid_128088,45928,4546,3481,7023,7034,3526,363,1673,3179,2208,2206,139644
epoch_77,uid_267455,3925,901,7260,3342,45728,148671,45928,90866,27834,2278,27002,5319
epoch_77,uid_73381,45728,1927,86320,628,26838,3702,108727,40815,3499,116897,5649,2716
epoch_77,uid_117628,7833,4489,120807,49961,2716,5062,3105,33896,5319,5055,3384,1947
epoch_77,uid_21453,7833,628,8405,194,1344,3105,4546,90866,3680,8507,909,33896
epoch_77,uid_229622,7833,45728,4489,628,1348,2716,5062,108727,5649,56941,7068,4546
epoch_77,uid_167368,48997,93721,7068,3499,3256,7981,5445,2734,6162,70159,6710,6669
epoch_77,uid_21772,85736,45728,628,7833,2716,74282,5445,7139,3505,5649,86320,8507
epoch_77,uid_176555,4489,928,49961,6669,120807,86320,1580,5445,1333,4047,55280,7068
epoch_77,uid_166868,1348,7001,48304,86320,1594,6669,2728,8405,6724,49961,2931,122904
epoch_78,uid_128088,115122,50658,936,1357,4373,937,7254,73323,3680,177765,39292,49772
epoch_78,uid_267455,1635,55280,108727,3526,3091,2931,7084,3097,33896,105197,40697,171
epoch_78,uid_73381,1297,27834,7419,431,152017,1648,5470,56941,4022,48304,7254,2173
epoch_78,uid_117628,154,2073,6724,5470,7254,30810,4546,56941,90866,166528,27834,1997
epoch_78,uid_21453,154,5470,56941,1348,2173,2180,2797,177765,7254,1997,4082,1035
epoch_78,uid_229622,2931,431,93721,1635,8983,936,2390,154,147,2073,1297,1648
epoch_78,uid_167368,152017,936,1348,2932,3091,1344,116897,2401,60904,345,86320,2115
epoch_78,uid_21772,5470,2290,2173,1035,1348,2180,6724,2991,55280,154,1297,7254
epoch_78,uid_176555,72733,90866,108727,4846,5380,6530,54995,2180,7833,116897,8958,551
epoch_78,uid_166868,2991,54001,27834,2654,1297,1635,7076,2173,5649,7419,106642,431
epoch_79,uid_128088,1344,6785,2396,5319,1997,70159,49961,68159,7937,4678,3341,2919
epoch_79,uid_267455,1127,3702,2173,48304,8207,63433,5146,2654,1344,2901,4194,102445
epoch_79,uid_73381,1344,36529,2654,6669,909,3680,70159,148626,2764,2734,2390,2915
epoch_79,uid_117628,1344,4914,3680,106920,2180,6188,1333,8507,93510,909,74458,6669
epoch_79,uid_21453,74458,36529,2654,81834,93510,7831,7297,3639,106920,6669,1333,105197
epoch_79,uid_229622,1344,8665,2180,2654,3680,3639,471,1333,1354,105197,7831,2890
epoch_79,uid_167368,3680,2931,120807,471,1673,5319,2901,3639,5146,4857,122922,41997
epoch_79,uid_21772,1344,3680,27834,108727,36529,2401,2654,48744,1673,5319,4857,8207
epoch_79,uid_176555,2290,93510,106920,2351,2901,8957,2764,177765,1673,4857,1997,3639
epoch_79,uid_166868,148626,8507,1673,8957,48744,74510,3359,45928,1248,6565,71108,163645
epoch_80,uid_128088,549,3735,112175,48997,27773,7888,5034,628,93510,26729,3262,7297
epoch_80,uid_267455,1188,55269,3735,345,6790,97785,3386,4405,7840,628,174053,51662
epoch_80,uid_73381,2078,3735,3105,8493,522,8207,1,3386,4914,154,27002,7840
epoch_80,uid_117628,108727,1296,728,5146,2728,1589,3735,48304,27002,7068,7981,522
epoch_80,uid_21453,1296,3735,51662,7068,4022,56788,6724,6188,3505,6971,7981,2078
epoch_80,uid_229622,3105,3505,5319,54995,5034,3735,5380,96588,2728,93510,3504,78160
epoch_80,uid_167368,3384,2078,1296,105197,40629,7260,5062,58425,3735,27002,1885,148626
epoch_80,uid_21772,1296,3384,3735,936,2073,54995,4546,74458,2728,65514,148671,531
epoch_80,uid_176555,39292,2078,7139,105197,3735,5034,115122,901,4732,33896,106642,565
epoch_80,uid_166868,3735,105197,56788,2078,3105,63433,6790,2648,4529,6971,54995,4914
epoch_81,uid_128088,159817,97785,92535,3819,27857,117176,56339,134881,6985,5893,40732,5747
epoch_81,uid_267455,143245,4857,3680,2579,6669,40732,2401,71108,2303,81535,5055,7028
epoch_81,uid_73381,4546,3114,594,6893,6188,45928,3181,138702,2401,4082,8042,48744
epoch_81,uid_117628,2654,594,26485,5034,471,105197,3181,5380,8207,45928,1297,63433
epoch_81,uid_21453,3181,4914,2931,6893,45928,26485,30810,51086,594,8207,3499,5034
epoch_81,uid_229622,594,45928,54286,5747,26485,4914,3181,2173,6971,40732,6162,86320
epoch_81,uid_167368,40732,6971,78160,91630,7766,5747,45928,7084,115569,594,37729,1061
epoch_81,uid_21772,45928,6669,3181,26485,58803,105197,63859,4914,7297,71108,2931,40732
epoch_81,uid_176555,108928,2734,2067,594,36517,78574,6981,5650,8042,27002,107771,63433
epoch_81,uid_166868,4546,1344,120807,594,5888,2180,3702,5034,2073,471,6162,5470
epoch_82,uid_128088,3925,74458,5644,534,3675,5385,8873,6942,3091,49130,1748,1132
epoch_82,uid_267455,65514,154,86320,96588,93510,3451,138702,5959,3039,166528,5650,78544
epoch_82,uid_73381,39414,1333,174053,93510,63433,5617,1753,3097,1997,6971,142456,2232
epoch_82,uid_117628,7831,96588,6971,3160,7840,3639,48744,174053,86320,115569,2968,122922
epoch_82,uid_21453,120807,114494,86320,4857,48304,3384,115569,63433,7840,2716,5617,3091
epoch_82,uid_229622,1296,174053,2968,2871,68159,7840,5146,2078,88163,7297,48744,2109
epoch_82,uid_167368,7028,114494,7840,26485,7419,174053,7023,2871,71108,56941,6981,115122
epoch_82,uid_21772,3098,115122,174053,6162,2734,54286,2968,3091,5034,93510,7831,6971
epoch_82,uid_176555,114494,49130,3039,7084,7028,7297,70286,1296,531,2109,6893,96588
epoch_82,uid_166868,70286,112175,1296,96588,2303,7831,7084,8665,122882,6981,5617,2232
epoch_83,uid_128088,81535,5064,114494,152017,34271,96281,1916,2390,3006,3679,6430,663
epoch_83,uid_267455,2025,3006,8507,63515,26485,4914,5991,8042,6981,2932,34271,7254
epoch_83,uid_73381,4857,105197,5418,8665,71108,3505,2931,5015,6721,81562,2342,33896
epoch_83,uid_117628,63859,3526,3091,81562,7028,4857,2932,4082,2734,147,51086,2901
epoch_83,uid_21453,1648,3526,63859,345,81562,71108,2342,142456,5991,62,40732,36513
epoch_83,uid_229622,90866,1035,70159,81562,3091,2932,76208,63859,51086,5959,2342,2396
epoch_83,uid_167368,63859,51086,8665,4517,136485,6721,76208,8957,7348,1354,3006,4082
epoch_83,uid_21772,90866,2078,6981,7068,2390,3006,5385,2932,142456,2342,3526,2901
epoch_83,uid_176555,76208,51086,2401,7840,63859,3505,1035,68159,3868,64620,7831,62
epoch_83,uid_166868,81562,4082,32554,90866,93510,5991,1589,68358,3868,63859,733,174053
epoch_84,uid_128088,928,108727,27800,272,96821,36529,3747,77795,5959,55765,147,522
epoch_84,uid_267455,60684,522,7034,4809,4128,431,1904,1242,663,58803,48744,565
epoch_84,uid_73381,76208,5959,3060,8981,8983,55269,3091,5146,1799,34552,7034,87660
epoch_84,uid_117628,2931,58803,3060,1904,1073,4846,5617,40697,663,8042,3499,7888
epoch_84,uid_21453,522,166528,3060,308,2932,5152,5959,4306,7034,27002,663,34552
epoch_84,uid_229622,522,3060,663,2734,5152,7034,36529,166528,34552,4846,27002,142456
epoch_84,uid_167368,3060,166528,522,4732,5055,663,1904,1799,36529,56715,88163,66097
epoch_84,uid_21772,522,166528,5959,4732,909,7034,663,1904,7840,7888,2303,51086
epoch_84,uid_176555,166528,26729,56715,5959,1904,163645,3060,3256,2968,3181,7478,5617
epoch_84,uid_166868,34552,143245,3925,51086,5319,2278,728,81535,27002,78160,3060,2932
epoch_85,uid_128088,6530,6791,101850,7068,34552,7123,34338,2232,159415,26184,495,5888
epoch_85,uid_267455,2972,6985,3747,7478,4888,3060,1962,7569,5607,74510,471,142456
epoch_85,uid_73381,78160,8507,6530,3451,6981,7260,3076,56079,928,58425,166528,55901
epoch_85,uid_117628,6985,1966,2173,4022,5888,7084,34552,58425,3006,68159,7123,5991
epoch_85,uid_21453,1966,74510,6985,6981,81535,7260,5888,2901,174053,7123,3006,58425
epoch_85,uid_229622,6985,81535,68358,3006,71108,7123,4022,36513,2915,74510,345,7084
epoch_85,uid_167368,68358,7123,74510,54503,42004,7478,87660,2915,3076,40697,2342,6890
epoch_85,uid_21772,81535,6985,4022,33896,5888,59315,5617,87660,551,27002,56941,1966
epoch_85,uid_176555,36513,148671,2932,8507,81535,5152,164909,4082,2390,471,522,7123
epoch_85,uid_166868,2915,5152,56715,2968,6985,6188,5959,58425,7028,66097,7260,40697
epoch_86,uid_128088,26485,3451,71838,44633,2342,5329,7478,6724,44761,96079,4454,2173
epoch_86,uid_267455,5380,56941,72308,8983,55901,69122,42004,1580,1111,1183,4732,55805
epoch_86,uid_73381,26485,5385,7084,40629,115122,1673,6162,901,72308,3053,3384,55805
epoch_86,uid_117628,2342,2401,7260,74510,5445,4888,72308,901,55805,2278,3451,65514
epoch_86,uid_21453,78160,72308,2401,55805,110102,901,2232,5445,47997,2278,3053,65514
epoch_86,uid_229622,1073,55805,7254,1673,901,2115,110102,3451,47997,106920,2232,3053
epoch_86,uid_167368,3241,6530,55805,3181,901,7254,4432,56079,131724,110102,3927,2327
epoch_86,uid_21772,110102,177765,733,34552,81562,78574,40697,55805,7084,72308,58425,78160
epoch_86,uid_176555,56941,110102,147,45928,7260,3499,26485,364,71108,7815,40732,2342
epoch_86,uid_166868,3053,2342,26485,76208,6893,110102,5445,2401,3384,5385,5146,4846
epoch_87,uid_128088,1111,1966,55232,34292,55901,85736,38701,8207,4776,4723,112421,345
epoch_87,uid_267455,60904,62,87660,7123,152017,5888,5110,76208,2627,136485,7981,534
epoch_87,uid_73381,7478,26242,663,2550,2278,55232,471,2184,4517,122922,40732,81535
epoch_87,uid_117628,6785,87660,7478,26242,62,6981,71108,142456,59315,1242,115122,3386
epoch_87,uid_21453,5146,6785,3747,3386,7084,7478,148626,26242,87660,4732,509,4901
epoch_87,uid_229622,2278,6981,87660,1127,6785,909,3052,33896,4306,4732,55901,7478
epoch_87,uid_167368,2919,2278,36517,5888,101850,1966,6303,5485,4723,6785,3266,2000
epoch_87,uid_21772,3386,6785,122922,4082,36513,5146,76208,7360,62,26729,2000,47997
epoch_87,uid_176555,3052,6785,2690,1127,36276,3471,1297,2131,8973,47997,2278,663
epoch_87,uid_166868,55805,8207,6785,3181,7840,2109,3267,106920,2390,62,55232,4857
epoch_88,uid_128088,99149,62155,2203,62,6770,7570,3060,5617,6971,3505,7815,6666
epoch_88,uid_267455,122904,25,7888,7348,180,733,7023,1399,2327,7815,122922,44633
epoch_88,uid_73381,2096,2115,63859,101850,54190,8614,74510,99149,8542,4888,2352,51471
epoch_88,uid_117628,78160,40732,4732,7348,2390,8119,110102,148626,63515,3747,131724,7023
epoch_88,uid_21453,1947,2390,7348,7023,171,2734,48744,3814,51471,55901,4888,131724
epoch_88,uid_229622,7023,122922,3359,7348,4888,131724,3098,5445,1947,40697,2000,105844
epoch_88,uid_167368,4809,2109,34552,2303,163645,164909,4373,51471,26242,937,46723,133645
epoch_88,uid_21772,163645,2109,1947,8614,51471,3814,7348,7023,901,4373,131724,46723
epoch_88,uid_176555,4914,81562,6123,1645,5055,5888,272,78544,7023,87304,3077,7348
epoch_88,uid_166868,54190,142456,87304,101850,7348,58803,3160,7440,7215,2096,1947,7023
epoch_89,uid_128088,26713,1215,1095,78574,48696,4405,96728,2401,2901,174053,7164,481
epoch_89,uid_267455,89118,7013,115569,49130,164909,51086,58425,3341,2109,7419,949,62250
epoch_89,uid_73381,164909,49772,6890,56715,2109,6985,7937,7888,3679,551,26007,4732
epoch_89,uid_117628,2000,2303,3341,551,33162,1097,3679,49772,7815,4405,928,3224
epoch_89,uid_21453,2109,928,2025,5015,2303,6890,8042,76208,49772,2115,551,3097
epoch_89,uid_229622,25,8042,3814,65514,6890,107771,3679,63433,1111,1904,89118,26007
epoch_89,uid_167368,8042,3341,58803,7013,26007,481,3386,180,6985,3090,26729,49772
epoch_89,uid_21772,8042,25,7478,7013,3747,115569,63433,7091,49130,56715,32554,26007
epoch_89,uid_176555,2797,2303,48696,3386,3224,33162,3526,171,39414,96728,7888,509
epoch_89,uid_166868,901,4732,3266,27800,7478,6890,122922,40732,3006,81834,1966,4802
epoch_90,uid_128088,40491,3972,4235,7215,101962,107771,4047,7419,6650,88140,54503,7139
epoch_90,uid_267455,40629,6530,41997,6890,1343,4846,7937,3053,3814,4529,26007,6162
epoch_90,uid_73381,1966,3972,3814,3639,54281,54995,3967,4454,64622,44633,6565,54503
epoch_90,uid_117628,6162,345,3814,101850,2025,2078,6721,3972,7419,78574,40629,509
epoch_90,uid_21453,6162,3160,7028,5380,1673,78574,40629,26007,152017,6721,64622,7937
epoch_90,uid_229622,7028,115569,78574,3097,3967,6721,44633,7013,8119,26729,32898,56715
epoch_90,uid_167368,48744,3679,3504,733,55269,7215,1333,96281,33779,86377,32898,63515
epoch_90,uid_21772,5380,40629,101850,6721,8119,6890,7028,3060,3341,7981,27611,6530
epoch_90,uid_176555,7215,34271,93006,87306,7419,32898,62644,34552,1748,26007,56367,66097
epoch_90,uid_166868,3680,3814,40629,5380,56079,3972,44633,3751,87660,34271,64622,55269
epoch_91,uid_128088,6721,5445,5992,7028,68347,1648,5110,6162,3160,431,90746,2060
epoch_91,uid_267455,1885,26242,46723,6785,8542,1061,168250,1297,3262,2890,57464,131724
epoch_91,uid_73381,2890,5888,46723,565,1885,937,32554,107771,33162,6770,60684,3098
epoch_91,uid_117628,112183,1885,1035,76208,55901,55269,1663,3262,8983,565,46723,6770
epoch_91,uid_21453,33162,1885,8983,46723,55269,112183,56079,78544,733,1663,7569,6770
epoch_91,uid_229622,5888,33162,55269,72308,1885,7766,1663,112183,39414,46723,7440,3499
epoch_91,uid_167368,78544,81562,33162,3747,565,7034,3967,4194,48696,6770,112183,1663
epoch_91,uid_21772,55901,55269,112183,3262,1885,33162,60684,7766,49772,5064,6770,74510
epoch_91,uid_176555,5747,2890,4809,55901,3090,112183,56079,8983,174053,46723,32657,55269
epoch_91,uid_166868,33162,522,112183,89118,5064,8983,60684,2890,937,4210,46723,1663
epoch_92,uid_128088,5062,65514,897,140816,8684,8973,2025,32657,32898,1295,27912,6163
epoch_92,uid_267455,32554,6279,54281,3679,5747,1897,56079,39414,8973,8684,101850,91077
epoch_92,uid_73381,7023,5453,112623,2901,2919,1904,40697,4846,7766,3039,7832,65514
epoch_92,uid_117628,3097,1111,39414,163645,54281,88163,2871,3076,27611,2919,152017,26007
epoch_92,uid_21453,88163,3679,39414,1297,3451,54281,3256,40697,2919,1111,59315,2579
epoch_92,uid_229622,7260,2901,7981,54281,163645,1192,2579,66097,58425,49772,3256,8973
epoch_92,uid_167368,2305,3097,30810,1111,104272,4846,39414,78574,89904,72308,7888,32554
epoch_92,uid_21772,3097,7260,8983,3679,2871,2579,5015,3451,32898,39414,3256,471
epoch_92,uid_176555,59315,3105,7981,3097,1111,7013,2580,3341,78160,104272,159817,63515
epoch_92,uid_166868,49772,663,26007,39414,3097,4454,7360,54281,88163,1035,55901,2919
epoch_93,uid_128088,163645,1127,56079,909,40697,2654,4888,4846,136485,78160,85342,31435
epoch_93,uid_267455,3168,107771,49772,3504,8614,2390,4454,3076,7983,64622,4517,176423
epoch_93,uid_73381,1127,6785,1962,3341,7815,78544,308,135143,38038,163645,5064,7091
epoch_93,uid_117628,5064,107771,3168,78544,64622,3266,1061,51471,44633,49130,1580,3052
epoch_93,uid_21453,101850,48416,3341,107771,7419,56715,34271,5064,99149,1061,3168,6565
epoch_93,uid_229622,3747,56079,1735,26242,3266,3168,60904,68347,148626,96281,164909,8605
epoch_93,uid_167368,54995,364,89118,4888,48416,3168,4405,27857,1289,99149,2596,7983
epoch_93,uid_21772,1127,3168,3266,7419,1663,1061,89118,107771,56079,64622,26242,60904
epoch_93,uid_176555,1947,64622,3091,31435,4888,8614,2596,3033,60904,55118,8605,2676
epoch_93,uid_166868,3341,1061,4194,26729,6163,3091,72308,3679,107771,115569,2596,1099
epoch_94,uid_128088,3386,2109,2420,1904,7084,2750,27002,95313,3471,3090,5440,1099
epoch_94,uid_267455,2919,90746,5826,269,3090,26524,308,32587,4432,159817,81564,26003
epoch_94,uid_73381,27611,5747,3090,56389,1111,1663,66097,2596,34271,7123,26729,3256
epoch_94,uid_117628,3090,5747,937,32554,81564,6890,2890,4373,8957,4517,40414,26729
epoch_94,uid_21453,3090,937,27611,5747,4085,63515,32554,26729,8119,2890,32657,1354
epoch_94,uid_229622,3090,27611,32554,2919,49130,7815,3076,159817,3386,937,4085,7419
epoch_94,uid_167368,62644,2390,2716,107771,122904,2627,87304,46322,8614,6790,6279,2131
epoch_94,uid_21772,594,3090,5747,63515,2627,1111,2919,937,2890,44633,78544,8605
epoch_94,uid_176555,8684,3451,937,1663,7766,152017,32554,6770,151731,27611,6279,4405
epoch_94,uid_166868,115122,7815,3256,27611,7034,3090,4405,3076,1111,481,46322,4888
epoch_95,uid_128088,105197,5540,66798,5146,565,7835,81564,8042,93721,40414,8614,8641
epoch_95,uid_267455,99149,3224,7570,81932,4022,3783,36517,2067,2750,531,113829,127198
epoch_95,uid_73381,60904,81932,87304,36513,180,3077,6286,1921,7569,8119,118244,2627
epoch_95,uid_117628,60904,4194,180,99149,5015,1921,3077,38038,87304,1354,733,7570
epoch_95,uid_21453,60904,7888,4405,81932,1921,7766,3098,6286,7570,3266,3077,4517
epoch_95,uid_229622,78544,59315,4405,1921,5015,152017,7360,180,7570,7888,1097,99149
epoch_95,uid_167368,113829,44633,62250,159817,3224,3077,49130,8684,5650,59784,33896,7360
epoch_95,uid_21772,3076,1921,4405,152017,38038,3077,54281,3224,2067,99149,928,4809
epoch_95,uid_176555,1354,69122,5329,65514,51471,40629,4454,99149,86377,44633,89118,1837
epoch_95,uid_166868,1921,7888,3224,152017,5015,6286,308,928,8042,3098,4517,78544
epoch_96,uid_128088,2596,83,51471,55269,37830,56389,2782,64278,64622,27033,1663,26578
epoch_96,uid_267455,937,7766,2871,6424,6163,137857,6721,594,2596,87304,3266,4085
epoch_96,uid_73381,68358,4345,6163,114945,4405,4809,5992,3927,501,2871,5377,49130
epoch_96,uid_117628,7766,31435,4809,56715,138702,56079,4723,6163,4322,3927,102445,3635
epoch_96,uid_21453,3076,1904,7013,87304,58803,5992,4846,3927,6530,102445,6163,31435
epoch_96,uid_229622,51471,64622,5617,48696,3927,3341,56389,3761,63515,58803,4809,101850
epoch_96,uid_167368,5617,4440,5015,7815,3761,3053,5377,6163,37830,138702,4210,4802
epoch_96,uid_21772,31435,159817,87304,1837,6163,565,1354,34271,2596,164909,4723,42004
epoch_96,uid_176555,58425,3241,3266,3076,4194,6163,4322,138702,5377,115569,49396,6721
epoch_96,uid_166868,3077,102445,1333,47997,138702,114945,171,5357,51471,2871,49286,7937
epoch_97,uid_128088,78544,3077,4783,56286,1962,1297,3967,36513,56715,105844,3241,7766
epoch_97,uid_267455,1173,26729,2131,7091,99112,14,7215,5377,27391,31435,86377,5485
epoch_97,uid_73381,3747,63515,79008,7013,89118,4373,14,112183,8973,159817,7348,32898
epoch_97,uid_117628,3039,7215,7013,7034,34271,2131,3471,47997,164909,4454,86377,2627
epoch_97,uid_21453,3039,7215,2131,3967,3471,4454,163645,4194,7091,164909,7815,159817
epoch_97,uid_229622,7215,509,3039,4454,5826,7937,2131,40629,55232,3471,7091,5110
epoch_97,uid_167368,1735,8973,14,3039,4454,5826,1057,99112,34271,909,1921,176423
epoch_97,uid_21772,3039,7215,2131,4454,3967,3471,308,7937,4888,3927,83,7570
epoch_97,uid_176555,74510,6890,5110,3967,2627,2866,5105,5357,114945,6162,3983,7034
epoch_97,uid_166868,33896,25,3039,5747,3471,6721,7013,1962,2901,68194,1885,6530
epoch_98,uid_128088,85259,1897,84392,6533,3927,3550,148626,8872,42004,7348,6286,7360
epoch_98,uid_267455,6123,51562,47997,85259,105844,2925,5992,27803,96821,32657,104272,824
epoch_98,uid_73381,62155,105844,56788,2580,7440,1897,188,91077,69275,136485,56286,7215
epoch_98,uid_117628,308,6286,41997,7360,6530,122904,159817,8684,42004,1173,136485,3098
epoch_98,uid_21453,180,8973,42004,49130,1173,8684,41997,122904,136485,7360,32898,105844
epoch_98,uid_229622,6286,3077,8684,41997,1173,102445,136485,122904,5650,42004,60684,1897
epoch_98,uid_167368,7569,1897,2657,5992,6286,7387,2580,6123,2550,59315,134881,928
epoch_98,uid_21772,6286,122904,1580,8684,41997,1173,7387,4440,171,180,102445,6279
epoch_98,uid_176555,3747,180,122904,55805,102445,7360,2925,6286,4517,55232,91630,7205
epoch_98,uid_166868,164909,159817,99149,42004,8973,1173,180,36529,49130,78574,4085,2550
epoch_99,uid_128088,249,54190,1643,2551,3359,46322,8366,74416,6890,1046,109742,3985
epoch_99,uid_267455,6303,928,2355,48696,64620,1289,5015,32898,1046,7076,79008,48416
epoch_99,uid_73381,46322,1173,171,78574,7451,269,7218,2067,48696,6123,1643,3985
epoch_99,uid_117628,2232,6659,37729,32898,7937,8973,62644,1962,171,48696,46322,1897
epoch_99,uid_21453,4373,1897,6659,46322,8641,1097,1046,7076,2067,37729,48696,91630
epoch_99,uid_229622,4373,6659,928,46322,2067,5992,37729,7076,6530,5991,2355,86377
epoch_99,uid_167368,4022,7076,2067,171,8119,1046,83,1837,54281,112623,1834,27391
epoch_99,uid_21772,2232,6659,46322,136485,7815,104879,1897,1962,48696,86377,1799,1046
epoch_99,uid_176555,2232,7218,1173,54281,4723,4373,7951,269,7076,1356,165969,4432
epoch_99,uid_166868,1904,1643,7766,4373,1897,8119,8641,1799,7451,3451,2131,37729
epoch_100,uid_128088,3814,7132,2973,4383,6303,1271,5357,1302,7440,87304,55805,2690
epoch_100,uid_267455,59784,4802,3639,4345,3635,6286,3363,1354,104879,34072,105250,3927
epoch_100,uid_73381,4802,27800,3635,40583,733,42004,1354,27857,131724,62644,91630,59784
epoch_100,uid_117628,59784,4802,66097,7091,3088,27857,89118,2275,2231,50011,481,8530
epoch_100,uid_21453,3635,27800,4802,59784,2627,62644,40583,2972,89118,2000,2915,3224
epoch_100,uid_229622,3635,59784,4802,91630,34271,4194,6279,2972,2627,3224,62644,38038
epoch_100,uid_167368,3635,50011,8542,7570,40583,2750,2184,31435,7132,2973,2972,80839
epoch_100,uid_21772,3635,62644,59784,66097,4802,4345,6123,3088,81564,8530,2925,37729
epoch_100,uid_176555,42004,1693,1897,3635,4802,27800,8641,27391,53956,2972,481,6790
epoch_100,uid_166868,40583,3635,1097,41997,32898,160980,136485,91630,63515,27857,7570,3088
epoch_101,uid_128088,1242,136469,26242,26003,5991,96655,48416,93326,62644,551,5425,5380
epoch_101,uid_267455,36363,2184,40414,1025,3241,3052,1302,68194,8119,5064,1837,98124
epoch_101,uid_73381,1242,36517,68194,40414,5540,4322,3504,4194,81834,3224,1837,6279
epoch_101,uid_117628,6790,69122,1837,8542,68194,79008,6279,37741,51562,1025,91630,114945
epoch_101,uid_21453,1242,81564,1837,68194,69122,79008,8542,5540,3504,138702,1025,40414
epoch_101,uid_229622,1242,69122,6770,68194,8542,79008,37741,81564,6790,51562,1837,36517
epoch_101,uid_167368,68194,79008,5064,7937,37741,51562,7218,5540,114945,27611,139644,104879
epoch_101,uid_21772,1025,6790,68194,69122,7440,5991,51562,37741,6303,8973,114945,4517
epoch_101,uid_176555,5146,1162,96655,68194,3504,4424,1799,58964,6291,46322,4612,1242
epoch_101,uid_166868,1242,1837,96079,79008,3504,272,3386,2627,81564,1735,5540,7091
epoch_102,uid_128088,4809,168250,7983,2550,85179,113829,3639,7388,7487,175569,261,32554
epoch_102,uid_267455,91630,112623,7440,28,7835,4117,176601,556,46322,2550,4723,114945
epoch_102,uid_73381,28,58803,41997,2925,7983,2750,3186,27391,104272,4117,51562,101962
epoch_102,uid_117628,8614,2550,4117,112623,949,27800,36529,8605,2972,7076,113829,36517
epoch_102,uid_21453,2550,4809,8614,1962,6279,2925,114945,2750,1834,5826,112623,4432
epoch_102,uid_229622,2550,4517,8614,1962,2925,8530,565,36363,4432,4117,114945,31435
epoch_102,uid_167368,1173,1962,2096,7091,5341,91077,40414,4976,2925,8914,176601,1934
epoch_102,uid_21772,2550,4194,3639,949,91630,2972,27800,5826,4117,36517,1834,5650
epoch_102,uid_176555,3814,1962,8119,28,2550,40414,36529,105250,41997,2919,1025,88140
epoch_102,uid_166868,4809,1354,62644,2925,8614,86377,168250,4432,40414,2579,166528,28
epoch_103,uid_128088,70984,164909,85399,7091,56941,7218,1658,7300,32387,138702,70208,79008
epoch_103,uid_267455,1295,2352,481,1799,33779,4976,7218,588,1748,64278,96728,25788
epoch_103,uid_73381,31435,2131,1295,6303,4432,96281,1046,1950,7328,27005,2972,53956
epoch_103,uid_117628,1799,2352,6303,1834,28,55232,7440,96281,1295,2925,27803,3328
epoch_103,uid_21453,1295,1799,4117,6303,55232,565,7440,96281,2352,6790,3328,28
epoch_103,uid_229622,138702,1295,1834,83,6303,3328,1799,2352,8641,8957,7983,7218
epoch_103,uid_167368,1748,2352,55232,1295,4117,8670,36363,56389,36276,2867,32587,5357
epoch_103,uid_21772,2352,8957,138702,1295,7983,79008,8542,96281,5055,96079,824,3972
epoch_103,uid_176555,7937,7254,4117,85259,6303,139644,8459,131724,1046,175569,482,57526
epoch_103,uid_166868,2352,1834,3328,60904,1295,6303,8530,31435,7835,7205,131724,6123
epoch_104,uid_128088,52952,2305,32840,6114,1240,1173,8605,7387,7451,5607,7569,93006
epoch_104,uid_267455,83,59037,3983,501,2000,2231,893,5357,2690,3359,8530,6565
epoch_104,uid_73381,1240,2231,99112,48416,1907,57526,3359,62250,6753,6659,32840,1399
epoch_104,uid_117628,3967,1907,83,104272,7569,6123,7218,48416,99112,5826,501,2750
epoch_104,uid_21453,2231,7218,1907,99112,104272,83,32840,36517,5377,60684,53956,1693
epoch_104,uid_229622,104272,7569,40414,2231,89904,2750,308,1693,32840,6753,5377,27857
epoch_104,uid_167368,7440,2231,57526,8530,6753,56788,2676,2275,2579,1580,2936,26713
epoch_104,uid_21772,1907,40414,99112,55232,7569,7218,104272,27391,32840,105844,5357,48416
epoch_104,uid_176555,6424,6753,2184,2231,90746,7569,1271,166461,7983,79008,134881,105844
epoch_104,uid_166868,104272,1907,2231,3639,7569,6063,2750,48416,8542,3408,44243,119145
epoch_105,uid_128088,2131,7013,27801,8459,7981,180,173291,2925,6063,88977,1097,62250
epoch_105,uid_267455,166461,3256,2915,165969,56788,7394,6791,84716,272,42518,27800,1735
epoch_105,uid_73381,2427,8873,5650,5826,5472,8530,93006,32657,2676,6430,172591,68835
epoch_105,uid_117628,56788,5650,3241,7451,87306,2596,1046,2936,6424,5357,69275,27005
epoch_105,uid_21453,2596,2936,5650,7451,27857,36363,69275,2871,6430,3241,481,86377
epoch_105,uid_229622,56788,69275,7451,172591,1061,3241,2936,2676,2596,8873,5055,1046
